Instance name                                                                                                    | Checked answer | CPU time | Solver name  | Solver version
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.01  | MXC          | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.04  | Rsat         | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.09  | picosat      | 535       
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.11  | minisat      | SAT 2007  
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.13  | CMUSAT       | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-270-2.sat05-2249.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.19  | MiraXT       | v3        
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf                       | SAT            | 0.015997 | SATzilla     | CRAFTED   
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf                       | SAT            | 0.032994 | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf                       | SAT            | 302.197  | minisat      | SAT 2007  
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf                       | SAT            | 1477.92  | picosat      | 535       
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf                       | SAT            | 3064.59  | MXC          | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.03  | Rsat         | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.08  | MiraXT       | v3        
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.11  | CMUSAT       | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-1.sat05-2263.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.3   | TTS          | 4.0       
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-2.sat05-2264.reshuffled-07.cnf                       | SAT            | 0.014997 | SATzilla     | CRAFTED   
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-2.sat05-2264.reshuffled-07.cnf                       | SAT            | 0.033993 | March KS     | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-2.sat05-2264.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.01  | Rsat         | 2007-02-08
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-2.sat05-2264.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.03  | picosat      | 535       
crafted/Difficult/contest05/jarvisalo/mod2-rand3bip-sat-280-2.sat05-2264.reshuffled-07.cnf                       | UNKNOWN TO     | 5000.07  | MXC          | 2007-02-08
